ipc_section,bns_section,status,notes
218,256,suggested,fuzzy title match (100/100): 'Public servant framing incorrect record or writing with intent to save person from punishment or property from forfeiture' ~ 'Public servant framing incorrect record or writing with intent to save person from punishment or property from forfeiture.' — please verify
219,257,suggested,"fuzzy title match (99/100): 'Public servant in judicial proceeding corruptly making report, etc., contrary to law' ~ 'Public servant in judicial proceeding corruptly making report, etc., contrary to law.' — please verify"
220,258,suggested,fuzzy title match (100/100): 'Commitment for trial or confinement by person having authority who knows that he is acting contrary to law' ~ 'Commitment for trial or confinement by person having authority who knows that he is acting contrary to law.' — please verify
221,259,suggested,fuzzy title match (97/100): 'Intentional omission to apprehend on the part of public servant bound to apprehend' ~ 'Intentional omission to apprehend on part of public servant bound to apprehend.' — please verify
222,260,suggested,fuzzy title match (98/100): 'Intentional omission to apprehend on the part of public servant bound to apprehend person under sentence or lawfully committed' ~ 'Intentional omission to apprehend on part of public servant bound to apprehend person under sentence or lawfully committed.' — please verify
223,261,suggested,fuzzy title match (99/100): 'Escape from confinement or custody negligently suffered by public servant' ~ 'Escape from confinement or custody negligently suffered by public servant.' — please verify
224,262,suggested,fuzzy title match (99/100): 'Resistance or obstruction by a person to his lawful apprehension' ~ 'Resistance or obstruction by a person to his lawful apprehension.' — please verify
225,263,suggested,fuzzy title match (99/100): 'Resistance or obstruction to lawful apprehension of another person' ~ 'Resistance or obstruction to lawful apprehension of another person.' — please verify
225A,264,suggested,"fuzzy title match (99/100): 'Omission to apprehend, or sufferance of escape, on part of public servant, in cases not otherwise, provided for' ~ 'Omission to apprehend, or sufferance of escape, on part of public servant, in cases not otherwise provided for.' — please verify"
225B,265,suggested,"fuzzy title match (99/100): 'Resistance or obstruction to lawful apprehension, or escape or rescue in cases not otherwise provided for' ~ 'Resistance or obstruction to lawful apprehension or escape or rescue in cases not otherwise provided for.' — please verify"
227,266,suggested,fuzzy title match (99/100): 'Violation of condition of remission of punishment' ~ 'Violation of condition of remission of punishment.' — please verify
228,267,suggested,fuzzy title match (99/100): 'Intentional insult or interruption to public servant sitting in judicial proceeding' ~ 'Intentional insult or interruption to public servant sitting in judicial proceeding.' — please verify
228A,72,suggested,"fuzzy title match (96/100): 'Disclosure of identity of the victim of certain offences, etc' ~ 'Disclosure of identity of victim of certain offences, etc.' — please verify"
229,268,suggested,fuzzy title match (79/100): 'Personation of a juror or assessor' ~ 'Personation of assessor.' — please verify
229A,269,suggested,fuzzy title match (86/100): 'Failure by person released on bail or bond to appear in court' ~ 'Failure by person released on bail bond or bond to appear in Court.' — please verify
233,348,suggested,fuzzy title match (73/100): 'Making or selling instrument for counterfeiting coin' ~ 'Making or possession of any instrument for counterfeiting a property mark.' — please verify
244,187,suggested,fuzzy title match (100/100): 'Person employed in mint causing coin to be of different weight or composition from that fixed by law' ~ 'Person employed in mint causing coin to be of different weight or composition from that fixed by law.' — please verify
245,188,suggested,fuzzy title match (99/100): 'Unlawfully taking coining instrument from mint' ~ 'Unlawfully taking coining instrument from mint.' — please verify
256,348,suggested,fuzzy title match (75/100): 'Having possession of instrument or material for counterfeiting Government stamp' ~ 'Making or possession of any instrument for counterfeiting a property mark.' — please verify
261,183,suggested,"fuzzy title match (100/100): 'Effacing writing from substance bearing Government stamp, or removing from document a stamp used for it, with intent to cause loss to Government' ~ 'Effacing writing from substance bearing Government stamp, or removing from document a stamp used for it, with intent to cause loss to Government.' — please verify"
262,184,suggested,fuzzy title match (99/100): 'Using Government stamp known to have been before used' ~ 'Using Government stamp known to have been before used.' — please verify
263,185,suggested,fuzzy title match (99/100): 'Erasure of mark denoting that stamp has been used' ~ 'Erasure of mark denoting that stamp has been used.' — please verify
263A,186,suggested,fuzzy title match (98/100): 'Prohibition of fictitious stamps' ~ 'Prohibition of fictitious stamps.' — please verify
268,270,suggested,fuzzy title match (97/100): 'Public nuisance' ~ 'Public nuisance.' — please verify
269,271,suggested,fuzzy title match (99/100): 'Negligent act likely to spread infection of disease dangerous to life' ~ 'Negligent act likely to spread infection of disease dangerous to life.' — please verify
270,271,suggested,fuzzy title match (94/100): 'Malignant act likely to spread infection of disease dangerous to life' ~ 'Negligent act likely to spread infection of disease dangerous to life.' — please verify
271,273,suggested,fuzzy title match (98/100): 'Disobedience to quarantine rule' ~ 'Disobedience to quarantine rule.' — please verify
272,274,suggested,fuzzy title match (99/100): 'Adulteration of food or drink intended for sale' ~ 'Adulteration of food or drink intended for sale.' — please verify
273,275,suggested,fuzzy title match (98/100): 'Sale of noxious food or drink' ~ 'Sale of noxious food or drink.' — please verify
274,276,suggested,fuzzy title match (98/100): 'Adulteration of drugs' ~ 'Adulteration of drugs.' — please verify
275,277,suggested,fuzzy title match (98/100): 'Sale of adulterated drugs' ~ 'Sale of adulterated drugs.' — please verify
276,278,suggested,fuzzy title match (99/100): 'Sale of drug as a different drug or preparation' ~ 'Sale of drug as a different drug or preparation.' — please verify
277,279,suggested,fuzzy title match (99/100): 'Fouling water of public spring or reservoir' ~ 'Fouling water of public spring or reservoir.' — please verify
278,280,suggested,fuzzy title match (99/100): 'Making atmosphere noxious to health' ~ 'Making atmosphere noxious to health.' — please verify
279,281,suggested,fuzzy title match (99/100): 'Rash driving or riding on a public way' ~ 'Rash driving or riding on a public way.' — please verify
